AQC00914000       21392R
USC00297638        1658R
USC00297649        2184R
USC00297867        1821R
USC00298015        1994R
USC00298085        1418R
USC00298088        1569Q
USC00298107        1501S
USC00298127        1124Q
USC00298284         821R
USC00298387        1026R
USC00298501        1661R
USC00298518        1376R
USC00298524        1062R
USC00298535         974S
USC00298596        1451S
USC00298668        1277R
USC00298713        1710R
USC00298819        1267R
USC00298830        1133R
USC00298834        1256R
USC00298845        1693R
USC00299031        1077R
USC00299085        1483R
USC00299128        1093R
USC00299156        1710S
USC00299165        1152S
USC00299193        1525R
USC00299284        1746Q
USC00299330        1681R
USC00299496        1574R
USC00299569        1398R
USC00299686        1077R
USC00299691        1719R
USC00299720        1403R
USC00299806        1408R
USC00299820        2406R
USC00299851        1293R
USC00300023        3445R
USC00300048        3843R
USC00300055        3574R
USC00300063        4163R
USC00300085        3746R
USC00300093        4467R
USC00300183        3875S
USC00300220        4250R
USC00300254        4282R
USC00300321        4226R
USC00300331        3616S
USC00300343        3228S
USC00300379        4301R
USC00300443        3534R
USC00300448        3274R
USC00300452        4242R
USC00300500        4078R
USC00300608        5276R
USC00300613        3963R
USC00300641        4468R
USC00300668        4885S
USC00300732        5101Q
USC00300766        3920R
USC00300785        5833R
USC00300870        4527R
USC00300889        5014S
USC00300929        4527R
USC00300961        4903Q
USC00301095        4258R
USC00301110        4935R
USC00301152        3390S
USC00301168        3949S
USC00301211        5038Q
USC00301265        3566R
USC00301309        4872Q
USC00301413        3468S
USC00301424        4342R
USC00301436        4709R
USC00301492        4457R
USC00301521        5364R
USC00301580        3717R
USC00301595        3850R
USC00301623        4691R
USC00301625        4872Q
USC00301664        4245R
USC00301708        4669R
USC00301752        4371S
USC00301761        4305R
USC00301787        3736R
USC00301799        3965R
USC00301966        4157R
USC00301974        3148R
USC00302031        4188Q
USC00302036        4564R
USC00302047        5267Q
USC00302060        4326S
USC00302129        5198S
USC00302169        4703Q
USC00302366        5114Q
USC00302554        3733R
USC00302574        3376S
USC00302582        4781R
USC00302610        3632S
USC00302829        4519R
USC00303025        4272S
USC00303033        4193R
USC00303050        3856R
USC00303065        4453S
USC00303144        4499R
USC00303184        3353S
USC00303284        4668S
USC00303319        4638R
USC00303346        3761S
USC00303360        4768R
USC00303365        4734R
USC00303444        4046R
USC00303464        4730R
USC00303773        3573S
USC00303851        5617S
USC00303955        3488R
USC00303961        5661R
USC00303970        4831R
USC00303983        3654S
USC00304025        4254R
USC00304102        4085S
USC00304174        3730S
USC00304207        4522R
USC00304555        4103S
USC00304575        4234Q
USC00304647        3829R
USC00304731        5160R
USC00304772        3305S
USC00304791        4467Q
USC00304808        4786R
USC00304836        4079S
USC00304844        3785R
USC00304849        3783R
USC00304912        4138S
USC00304952        3190R
USC00304996        3886S
USC00305113        4192R
USC00305180        4896Q
USC00305233        3735Q
USC00305248        4307R
USC00305276        4885R
USC00305310        4387S
USC00305377        4657R
USC00305426        5186S
USC00305512        4633R
USC00305597        3146R
USC00305639        4138R
USC00305679        3511R
USC00305714        4279R
USC00305751        4257R
USC00305796        4660R
USC00305840        3497R
USC00305869        3850R
USC00305925        4227S
USC00306047        3960S
USC00306062        4620R
USC00306085        4324S
USC00306138        4826R
USC00306164        3620R
USC00306184        4996R
USC00306196        3965S
USC00306314        4246S
USC00306356        3752R
USC00306441        4991R
USC00306464        3572R
USC00306525        5096Q
USC00306538        3154R
USC00306623        5575R
USC00306649        6269Q
USC00306659        3198R
USC00306674        5018R
USC00306745        3572S
USC00306774        4638R
USC00306839        4000R
USC00307035        4797R
USC00307134        4775S
USC00307195        3949R
USC00307210        5029S
USC00307274        4644R
USC00307329        4094R
USC00307400        4550R
USC00307484        4496R
USC00307633        4573R
USC00307705        3913S
USC00307713        4653R
USC00307721        5230R
USC00307750        3968R
USC00307772        4961R
USC00307780        4361R
USC00307799        6283R
USC00307818        4257Q
USC00307842        3887R
USC00308160        4169R
USC00308248        5021R
USC00308304        4917R
USC00308322        5031R
USC00308386        4153Q
USC00308578        5132R
USC00308586        4297Q
USC00308594        3520R
USC00308600        4082R
USC00308625        4148R
USC00308627        4652R
USC00308631        4482R
USC00308670        4187R
USC00308746        4063R
USC00308839        3364R
USC00308906        4474R
USC00308910        4235R
USC00308932        4482Q
USC00308936        4577R
USC00308944        4418R
USC00308946        4236R
USC00308962        4585R
USC00308987        3573Q
USC00309000        4310S
USC00309047        3520R
USC00309072        3791R
USC00309076        3600R
USC00309189        4530R
USC00309292        5062R
USC00309303        4464S
USC00309389        4205S
USC00309425        3777S
USC00309437        3746R
USC00309495        3104Q
USC00309507        3249R
USC00309516        4474S
USC00309533        3461R
USC00309670        5123S
USC00309690        3615Q
USC00310090        4876R
USC00310184        6311R
USC00310212        4735Q
USC00310241        4752R
USC00310286        4510S
USC00310356        5726Q
USC00310375        4972R
USC00310506        4947R
USC00310576        5488R
USC00310645        5154Q
USC00310674        4854S
USC00310724        4802R
USC00310843        4720R
USC00310901        6374R
USC00310982        5266R
USC00311055        6601R
USC00311081        4885S
USC00311156        5795Q
USC00311239        4468R
USC00311285        4753S
USC00311420        4184R
USC00311437        4255R
USC00311441        4439R
USC00311515        4733S
USC00311535        4629Q
USC00311538        4752S
USC00311564        5025R
USC00311579        4528R
USC00311606        5713S
USC00311624        5786R
USC00311677        4731S
USC00311820        4642R
USC00311881        4862S
USC00311975        4591C
USC00311990        4458R
USC00312102        6899S
USC00312200        5132S
USC00312238        4692S
USC00312500        4777S
USC00312515        4781R
USC00312560        4994Q
USC00312631        4502R
USC00312635        4811R
USC00312719        4854S
USC00312732        4932Q
USC00312740        4606S
USC00312827        4547S
USC00312837        3939R
USC00312993        4659Q
USC00313017        4542S
USC00313072        4730Q
USC00313106        5064S
USC00313150        4956R
USC00313152        5117Q
USC00313168        4575R
USC00313228        5415R
USC00313356        4297R
USC00313555        4510S
USC00313565        6123R
USC00313638        4956R
USC00313784        4800S
USC00313919        4562Q
USC00313921        5945Q
USC00313969        4458R
USC00313976        5476S
USC00314055        8450S
USC00314063        4610S
USC00314144        5731R
USC00314260        4298R
USC00314385        5222R
USC00314456        4686R
USC00314464        4633S
USC00314471        5428Q
USC00314675        4648Q
USC00314684        4993R
USC00314689        4864R
USC00314764        5407R
USC00314788        9051R
USC00314860        4608S
USC00314938        4767R
USC00314962        4679S
USC00314970        4433S
USC00314996        4710S
USC00315116        5388S
USC00315123        4563R
USC00315175        4865Q
USC00315177        4775R
USC00315340        5225R
USC00315356        3962S
USC00315743        4459R
USC00315771        4697S
USC00315830        5902S
USC00315838        4834S
USC00315890        4679S
USC00315913        4200S
USC00315923        7416R
USC00315996        4790R
USC00316001        5747R
USC00316091        4576R
USC00316236        4857S
USC00316256        4946S
USC00316341        5379R
USC00316349        5819R
USC00316422        5458Q
USC00316507        4446R
USC00316510        4592R
USC00316602        4916S
USC00316676        5368Q
USC00316686        4141Q
USC00316805        6173S
USC00316853        5190S
USC00317056        4654R
USC00317074        4622S
USC00317079        4602R
USC00317097        4515S
USC00317165        4593R
USC00317170        5257Q
USC00317202        4637S
USC00317229        4470S
USC00317319        4571S
USC00317346        6133Q
USC00317395        4481S
USC00317400        4621R
USC00317486        7482S
USC00317499        4613R
USC00317516        4537R
USC00317548        4646Q
USC00317615        4203R
USC00317618        4281S
USC00317656        4621S
USC00317725        4546R
USC00317813        5374Q
USC00317845        4789R
USC00317924        4662S
USC00317994        4775S
USC00318113        5595R
USC00318292        4407S
USC00318380        5525Q
USC00318448        5039R
USC00318450        5426Q
USC00318492        5462S
USC00318500        4487S
USC00318519        4978Q
USC00318694        5491S
USC00318706        5265S
USC00318744        6177S
USC00318778        4573R
USC00318964        4541S
USC00319026        5420Q
USC00319100        4930S
USC00319123        5049C
USC00319147        4772S
USC00319354        5053R
USC00319357        4828S
USC00319406        4851R
USC00319423        5307S
USC00319427        4765R
USC00319440        4983S
USC00319461        5835Q
USC00319467        5784S
USC00319476        4704S
USC00319555        5068S
USC00319675        4472S
USC00319704        4800R
USC00319923        4532R
USC00320005        2386R
USC00320022        1968S
USC00320096        1423R
USC00320127        1687R
USC00320189        1415R
USC00320209        1443R
USC00320382        1957S
USC00320590        1523R
USC00320626        1892Q
USC00320729        1738R
USC00320766        1702R
USC00320817        1959Q
USC00320827        1851R
USC00320941        1797S
USC00320961        1706R
USC00320995        1559S
USC00321225        1765R
USC00321288        1930Q
USC00321360        2015R
USC00321362        2030R
USC00321370        1692R
USC00321408        2337R
USC00321435        1917S
USC00321456        1851Q
USC00321477        2172S
USC00321500        1934Q
USC00321686        1976R
USC00321699        1593R
USC00321766        2158R
USC00321816        1932R
USC00321871        1492R
USC00322188        1671R
USC00322193        1684R
USC00322304        1734S
USC00322365        1559R
USC00322482        2038R
USC00322525        1947R
USC00322588        1817R
USC00322605        2264R
USC00322695        2224Q
USC00322809        1497R
USC00322949        1692R
USC00323004        1809R
USC00323064        2065S
USC00323117        2212R
USC00323207        1483R
USC00323217        1719Q
USC00323287        2150R
USC00323309        2031R
USC00323376        1750R
USC00323529        1676Q
USC00323594        2001R
USC00323621        2162S
USC00323686        1777R
USC00323705        1622R
USC00323826        1817S
USC00323846        1717Q
USC00323963        1861R
USC00324013        1777R
USC00324083        1824R
USC00324091        1627R
USC00324102        1729R
USC00324178        1565R
USC00324180        1708Q
USC00324203        2162R
USC00324372        1920Q
USC00324418        1960R
USC00324571        1671S
USC00324646        1830R
USC00324722        1629Q
USC00324879        2011R
USC00324937        2277R
USC00324958        1942S
USC00325002        1785Q
USC00325078        1943R
USC00325090        1704Q
USC00325186        2331R
USC00325210        1690R
USC00325220        2113R
USC00325230        2173S
USC00325434        1845R
USC00325479        1795S
USC00325575        1548R
USC00325638        1808S
USC00325660        2392R
USC00325710        1756R
USC00325730        2119S
USC00325754        2243S
USC00325764        2174R
USC00325798        1852R
USC00325813        1497R
USC00325848        1880R
USC00325993        1859R
USC00326015        1690R
USC00326025        1717R
USC00326105        2048S
USC00326155        1656R
USC00326255        1974S
USC00326315        1578R
USC00326365        1741S
USC00326620        2235Q
USC00326857        2084R
USC00327027        2022R
USC00327047        1851R
USC00327281        1532R
USC00327311        1624C
USC00327450        1645S
USC00327452        1552R
USC00327465        1720Q
USC00327530        1655R
USC00327655        1935Q
USC00327664        1865S
USC00327704        1964R
USC00327986        2119R
USC00328047        1407R
USC00328065        1690S
USC00328276        1869S
USC00328366        1938R
USC00328415        1840R
USC00328608        1980R
USC00328627        1634S
USC00328660        1615Q
USC00328737        1493R
USC00328792        1719R
USC00328812        1481S
USC00328840        1755R
USC00328850        1735R
USC00328853        1714Q
USC00328872        1764S
USC00328913        1791S
USC00328937        2062S
USC00328990        1881R
USC00329035        2040R
USC00329100        2231R
USC00329155        2092R
USC00329195        1718R
USC00329233        1467R
USC00329246        1575R
USC00329333        1743S
USC00329400        1517S
USC00329430        1431S
USC00329445        1783R
USC00329455        1910R
USC00329515        2089Q
USC00329575        1899R
USC00329650        1645R
USC00330061        3750R
USC00330256        3951R
USC00330264        4232R
USC00330279        3937R
USC00330430        4380R
USC00330563        3982S
USC00330573        4106R
USC00330676        4195Q
USC00331042        3777Q
USC00331057        4285S
USC00331072        3909S
USC00331152        4066S
USC00331175        4242Q
USC00331197        3960S
USC00331245        3535R
USC00331288        4140R
USC00331390        3818S
USC00331404        4155R
USC00331458        4874S
USC00331515        4617S
USC00331528        4069Q
USC00331536        4004R
USC00331541        3924S
USC00331550        4771R
USC00331592        3892S
USC00331777        4018S
USC00331783        4011R
USC00331858        4024S
USC00331890        4175S
USC00331905        3815S
USC00332044        4144S
USC00332067        4033S
USC00332098        3690S
USC00332119        3829R
USC00332160        4038R
USC00332251        4365R
USC00332485        4110S
USC00332599        3950C
USC00332603        3914Q
USC00332626        4020R
USC00332651        4320R
USC00332727        4322R
USC00332791        3731S
USC00332847        3792R
USC00332895        3912Q
USC00332928        4004R
USC00332956        4050Q
USC00332974        3700S
USC00332976        3443R
USC00333021        4131S
USC00333029        4100R
USC00333292        3616Q
USC00333375        3887S
USC00333393        3889R
USC00333482        4266Q
USC00333500        4184R
USC00333722        3684R
USC00333758        4256S
USC00333780        4268S
USC00333838        3842R
USC00333874        3441R
USC00333915        3899R
USC00334004        4204R
USC00334038        4069Q
USC00334189        3643R
USC00334238        4300S
USC00334258        3448Q
USC00334260        4505R
USC00334319        3720R
USC00334403        3917Q
USC00334434        3871S
USC00334551        3830S
USC00334672        4249Q
USC00334681        3933R
USC00334728        4012R
USC00334874        4013R
USC00334924        4233R
USC00334927        4270S
USC00334942        3928R
USC00334967        3857R
USC00334979        3788S
USC00335029        4375S
USC00335041        4299R
USC00335188        4465Q
USC00335220        4042R
USC00335268        4539R
USC00335297        3926R
USC00335315        3849R
USC00335356        3903R
USC00335438        3723S
USC00335505        3919S
USC00335535        3992R
USC00335669        3677R
USC00335718        3729S
USC00335747        4174S
USC00335786        4074S
USC00335794        3803R
USC00335857        4157S
USC00335894        4081R
USC00335939        4298R
USC00336118        3794S
USC00336196        3801S
USC00336342        3630R
USC00336389        3904R
USC00336405        3715S
USC00336465        3540S
USC00336600        3799S
USC00336616        3998Q
USC00336630        4043R
USC00336645        4210R
USC00336650        3925Q
USC00336697        3920S
USC00336781        4088S
USC00336861        3805S
USC00336882        3319R
USC00336949        4066S
USC00337120        4595R
USC00337255        3953R
USC00337303        4021R
USC00337383        3642S
USC00337400        3953R
USC00337410        4052R
USC00337538        3940S
USC00337559        4174Q
USC00337693        3969S
USC00337857        4735R
USC00337935        3851S
USC00338025        4150R
USC00338110        3481R
USC00338313        3752S
USC00338332        4022S
USC00338534        3768R
USC00338552        4180S
USC00338560        3920R
USC00338565        3942R
USC00338609        3839R
USC00338642        3821S
USC00338769        3993S
USC00338794        3971R
USC00338810        4496R
USC00338822        3482S
USC00338830        4056R
USC00338951        3914S
USC00338990        3983S
USC00339050        4439R
USC00339197        4469Q
USC00339219        4120S
USC00339312        4008C
USC00339361        4184R
USC00340017        4175S
USC00340028        4558Q
USC00340179        2857S
USC00340184        3022S
USC00340193        2903R
USC00340200        3211R
USC00340215        3514Q
USC00340224        3323R
USC00340256        4662R
USC00340260        3476R
USC00340288        3720R
USC00340292        3764R
USC00340332        2598R
USC00340364        4570R
USC00340391        4723Q
USC00340535        4363R
USC00340546        4252Q
USC00340567        5611R
USC00340593        2199S
USC00340670        5144Q
USC00340755        3553S
USC00340782        4135R
USC00340818        3743S
USC00340830        3660R
USC00340908        1877S
USC00340980        4694R
USC00341075        3704Q
USC00341144        4098R
USC00341162        5361S
USC00341168        5614R
USC00341243        2469R
USC00341256        3968R
USC00341499        5446R
USC00341504        3211R
USC00341544        5291R
USC00341620        2774R
USC00341648        4348R
USC00341684        3730R
USC00341706        3116R
USC00341711        4484R
USC00341717        4432R
USC00341724        3258R
USC00341745        4240S
USC00341750        3685S
USC00341828        4540S
USC00341858        4875R
USC00341909        3243R
USC00342011        4390Q
USC00342039        3250R
USC00342054        3702S
USC00342125        3067S
USC00342196        3870S
USC00342242        3369R
USC00342318        3941R
USC00342354        5081S
USC00342485        4546R
USC00342660        3801R
USC00342668        3303S
USC00342678        4465R
USC00342690        4380Q
USC00342788        3663R
USC00342818        3490R
USC00342849        2987R
USC00342872        3696R
USC00342912        3424R
USC00342944        2669S
USC00342993        4634R
USC00343065        5203R
USC00343070        2424S
USC00343083        4614R
USC00343250        3873R
USC00343304        2602S
USC00343353        3082R
USC00343358        2680S
USC00343489        2374R
USC00343497        3142R
USC00343628        1709R
USC00343740        3277R
USC00343821        3838R
USC00343835        2014Q
USC00343871        2857R
USC00343884        4537R
USC00343909        3577R
USC00343956        4426R
USC00343998        2902R
USC00344001        3771S
USC00344008        5061R
USC00344017        5490R
USC00344019        3200C
USC00344052        3848R
USC00344055        3403S
USC00344235        4170R
USC00344249        2614R
USC00344258        4280R
USC00344298        1797R
USC00344384        4775R
USC00344451        5185R
USC00344489        3756R
USC00344567        4698R
USC00344573        3520R
USC00344672        4767R
USC00344766        1803R
USC00344861        3565S
USC00344865        4257R
USC00344915        4149S
USC00344950        3291Q
USC00344975        4737R
USC00345013        3482R
USC00345045        2292S
USC00345063        3285R
USC00345090        2641R
USC00345108        4430R
USC00345118        4186R
USC00345216        3460R
USC00345247        3585R
USC00345329        3341S
USC00345437        4817R
USC00345468        4141R
USC00345509        2794S
USC00345522        4146R
USC00345540        3976R
USC00345563        3967S
USC00345581        3816S
USC00345693        4790S
USC00345713        4842S
USC00345768        3520R
USC00345779        4066R
USC00345855        4406R
USC00346035        2819S
USC00346110        3572Q
USC00346130        4526R
USC00346139        2600S
USC00346278        3931R
USC00346386        3888R
USC00346485        4165R
USC00346629        3105R
USC00346638        4382S
USC00346659        3761Q
USC00346670        4419R
USC00346678        4616R
USC00346751        2738R
USC00346926        3941S
USC00346935        4694R
USC00346940        4020S
USC00347003        3723R
USC00347012        3635S
USC00347068        3409R
USC00347214        4310S
USC00347254        4674R
USC00347264        4112R
USC00347309        4431R
USC00347327        4233R
USC00347372        4861R
USC00347390        3938S
USC00347394        4285R
USC00347403        3023R
USC00347412        2148Q
USC00347505        3711R
USC00347534        1563R
USC00347565        2909S
USC00347579        2535R
USC00347727        3023R
USC00347862        4819S
USC00347952        2697S
USC00347979        4398Q
USC00348016        3188R
USC00348042        4234S
USC00348110        4132S
USC00348258        4125R
USC00348299        3173R
USC00348380        4558R
USC00348416        4737R
USC00348479        4081R
USC00348501        3731R
USC00348506        5161R
USC00348563        3941S
USC00348652        2434R
USC00348677        5023R
USC00348708        2883S
USC00348815        3189R
USC00348884        4402S
USC00349017        2068R
USC00349023        5112R
USC00349032        3871R
USC00349086        3593S
USC00349118        5204S
USC00349172        2809R
USC00349203        4336R
USC00349212        2638S
USC00349247        4561R
USC00349278        3451R
USC00349298        4112R
USC00349364        3239S
USC00349395        3196R
USC00349404        2774R
USC00349422        3116R
USC00349445        4568R
USC00349479        4260R
USC00349575        4326S
USC00349629        3590R
USC00349634        4923R
USC00349668        3026S
USC00349724        4990Q
USC00349760        2562S
USC00350036         982R
USC00350118         803R
USC00350145        8975S
USC00350197        1419R
USC00350217        2570R
USC00350265         925S
USC00350304        2000S
USC00350312        1374S
USC00350356        2110R
USC00350471        5871S
USC00350501        1380R
USC00350595        4058R
USC00350652        7401R
USC00350694        1136R
USC00350699         996R
USC00350856        1508Q
USC00350858         890R
USC00350897        7752S
USC00351055        7722R
USC00351058        8436Q
USC00351067         910R
USC00351124        1062R
USC00351149        2383S
USC00351354        3420Q
USC00351433        6446S
USC00351448        6287R
USC00351546        2579R
USC00351574        2078R
USC00351643        5339S
USC00351682        7996S
USC00351765        1449R
USC00351836        5575S
USC00351862        4271S
USC00351877        6725S
USC00351897        4628S
USC00351902        4813R
USC00351914        7033Q
USC00351926        2154R
USC00351946        6621S
USC00352010        4930R
USC00352112        4697R
USC00352135        1090Q
USC00352173        1323Q
USC00352292        9071S
USC00352325        4367S
USC00352374        4728S
USC00352406        4792S
USC00352415        1125S
USC00352440        1378R
USC00352493        6086R
USC00352597        2374R
USC00352633        5049R
USC00352675        1596R
USC00352678        1903R
USC00352693        5823S
USC00352775        7157R
USC00352800        7917Q
USC00352805        6548R
USC00352867        4704Q
USC00352876         905Q
USC00352972        8002Q
USC00352973        8212Q
USC00352974        4477R
USC00352997        4557S
USC00353014        8229Q
USC00353038        1524R
USC00353047        5473S
USC00353193        6979R
USC00353250        2826R
USC00353356        7706R
USC00353402        8728S
USC00353445        3098S
USC00353509        2358S
USC00353542        1396R
USC00353604        2187S
USC00353692        1253Q
USC00353705        7399S
USC00353770        7829S
USC00353818         981Q
USC00353827        1400S
USC00353847         992R
USC00353908        3729R
USC00353971        5068S
USC00353995        7099R
USC00354003        3129R
USC00354060        3145R
USC00354098        1404R
USC00354126        6166S
USC00354133        7947R
USC00354161        1240R
USC00354291        1317R
USC00354329        1756R
USC00354403        1981S
USC00354411        1274R
USC00354501        1965Q
USC00354506        1418R
USC00354606        5721R
USC00354622        1652R
USC00354633        2925R
USC00354670        1467R
USC00354721        7029R
USC00354776       12228R
USC00354811        6755S
USC00354819        4642Q
USC00354835        6598S
USC00354939        5063R
USC00355020        1794R
USC00355026        3817S
USC00355050        4647S
USC00355055        3304S
USC00355067        1672Q
USC00355080        1112S
USC00355139        1045R
USC00355142        1213S
USC00355160        1069S
USC00355162         997R
USC00355174        1209R
USC00355204        8189Q
USC00355221        7224R
USC00355258        1586R
USC00355335         892R
USC00355362        6835Q
USC00355384        4172R
USC00355392         893Q
USC00355394        2905Q
USC00355515        1058R
USC00355545        1150R
USC00355593        1646S
USC00355638        1397R
USC00355641        1075R
USC00355681        4741Q
USC00355711        1461Q
USC00355734        1138S
USC00355891        3912R
USC00355945        4006Q
USC00355971       11888S
USC00356151        4245R
USC00356179        1037R
USC00356200        3985S
USC00356213        4541R
USC00356252        3445Q
USC00356302         976R
USC00356334        4421R
USC00356366        9499S
USC00356405         968S
USC00356426        1106R
USC00356466        3410S
USC00356532        1116S
USC00356540        1728S
USC00356541        1480Q
USC00356550        1301Q
USC00356634        1449S
USC00356749        4285R
USC00356750        4347R
USC00356784        7261R
USC00356795       11790S
USC00356820        5884R
USC00356853        1180Q
USC00356883        1068R
USC00356907        4192R
USC00357050        1064Q
USC00357112        4772R
USC00357127        4338S
USC00357160        1500Q
USC00357169        3115S
USC00357208        1007R
USC00357250        2009R
USC00357277        1154R
USC00357310         888R
USC00357331        3370R
USC00357391        2512R
USC00357466        4664Q
USC00357554        6566Q
USC00357631        8086R
USC00357641        7535R
USC00357675        1384R
USC00357809        7142Q
USC00357817        1036R
USC00357823        4736S
USC00357857        1353Q
USC00357940        3643S
USC00358029        1166Q
USC00358095        5237S
USC00358173        1331S
USC00358182        6590R
USC00358246        1837Q
USC00358260        4003S
USC00358407        1455R
USC00358420        1184R
USC00358466        7052S
USC00358481        8896R
USC00358494        8801S
USC00358536        4832S
USC00358726        1680Q
USC00358746        1440S
USC00358788        4006R
USC00358797        1002R
USC00358884        4820S
USC00358997        1748R
USC00359068        1222R
USC00359083        4549S
USC00359176        1049R
USC00359316        2132S
USC00359372        4925S
USC00359390        3249S
USC00359461        3636S
USC00359588        7769Q
USC00360022        4161R
USC00360132        4011Q
USC00360140        4243R
USC00360457        4458S
USC00360475        3726S
USC00360482        4655R
USC00360488        4726R
USC00360582        4656Q
USC00360656        4328S
USC00360785        4560R
USC00360861        3797S
USC00360867        4411R
USC00360868        4861S
USC00361004        4659R
USC00361073        3882R
USC00361080        5090R
USC00361087        3836R
USC00361139        4181S
USC00361212        4009S
USC00361350        5421S
USC00361354        4169S
USC00361362        4770Q
USC00361377        3803S
USC00361480        4252S
USC00361485        4655R
USC00361505        4652R
USC00361519        4225R
USC00361526        4665Q
USC00361534        5133R
USC00361591        5009R
USC00361705        4550S
USC00361726        4414S
USC00361737        4871R
USC00361751        4586Q
USC00361790        4768R
USC00361802        4155Q
USC00361810        4206Q
USC00361815        4163R
USC00361838        3565R
USC00361881        4484R
USC00361920        4352Q
USC00362013        4149R
USC00362071        4914R
USC00362108        4924R
USC00362183        4490R
USC00362190        3760S
USC00362221        4792Q
USC00362298        4284R
USC00362323        4136Q
USC00362470        4770S
USC00362537        4313R
USC00362574        3483R
USC00362629        4245R
USC00362671        4339S
USC00362721        3862R
USC00362942        4068R
USC00363018        4786Q
USC00363028        4497S
USC00363130        4245S
USC00363293        4017Q
USC00363295        4128R
USC00363311        4551R
USC00363321        4903S
USC00363343        3749S
USC00363417        4454Q
USC00363437        4629R
USC00363451        3958R
USC00363488        4766R
USC00363503        4296R
USC00363526        4074R
USC00363632        4668S
USC00363665        4221R
USC00363698        4363Q
USC00363758        4289R
USC00364008        4597R
USC00364019        3897R
USC00364047        4522S
USC00364076        4940R
USC00364159        3999Q
USC00364190        3790R
USC00364214        4648S
USC00364325        4248R
USC00364432        4676C
USC00364611        4211Q
USC00364763        4281S
USC00364778        4291S
USC00364815        5002R
USC00364836        5077R
USC00364839        5271R
USC00364853        4438R
USC00364896        4335R
USC00364934        4928R
USC00364972        3782R
USC00364976        4318R
USC00364983        4718R
USC00364992        4142S
USC00365050        4063R
USC00365109        4083S
USC00365160        5319R
USC00365212        4185R
USC00365344        5023R
USC00365381        3919R
USC00365390        3926R
USC00365408        4809R
USC00365470        4598R
USC00365573        3804R
USC00365606        4461R
USC00365651        4269R
USC00365686        3927S
USC00365790        4246R
USC00365902        3778S
USC00365915        4493S
USC00365956        4590Q
USC00366022        4976Q
USC00366042        4316R
USC00366151        4025S
USC00366194        4930S
USC00366233        3946S
USC00366238        4421R
USC00366289        4602S
USC00366297        3922R
USC00366310        3949R
USC00366370        4838R
USC00366508        4617S
USC00366649        4263R
USC00366681        4666S
USC00366762        4275R
USC00366886        4851R
USC00366921        4046R
USC00366927        4336R
USC00366955        4494R
USC00367029        4950R
USC00367040        4560Q
USC00367073        4337R
USC00367103        4102S
USC00367167        3927R
USC00367229        4426S
USC00367312        3856R
USC00367322        4523R
USC00367338        4573R
USC00367409        3971S
USC00367477        4407S
USC00367578        4717R
USC00367727        3987R
USC00367728        4493R
USC00367730        3499S
USC00367732        4364R
USC00367735        4306S
USC00367782        4238S
USC00367846        3936S
USC00367863        4012R
USC00367931        4211S
USC00367938        4886Q
USC00368011        3778R
USC00368057        4552S
USC00368073        4043S
USC00368145        4338S
USC00368184        4344S
USC00368244        4298R
USC00368308        4686S
USC00368361        4621R
USC00368379        4205C
USC00368388        4735R
USC00368400        5110R
USC00368449        3962S
USC00368469        4185S
USC00368589        4770Q
USC00368596        5079S
USC00368668        4253R
USC00368692        4257S
USC00368758        5309S
USC00368763        5283R
USC00368776        5230R
USC00368868        3484R
USC00368873        4502R
USC00368888        4577S
USC00368905        3574R
USC00368959        3508R
USC00369022        4078R
USC00369042        4803R
USC00369050        4311S
USC00369140        4065R
USC00369298        4709R
USC00369318        3887R
USC00369367        4047S
USC00369408        3700R
USC00369464        4784R
USC00369510        4485R
USC00369702        4072R
USC00369714        3926R
USC00369735        4139R
USC00369823        3917S
USC00369933        4286S
USC00369950        4156R
USC00369995        4817R
USC00374266        5287S
USC00375215        4850R
USC00375270        5370C
USC00377581        4854R
USC00379423        5142S
USC00380074        5115R
USC00380126        4633S
USC00380165        4836R
USC00380204        4540R
USC00380448        4579R
USC00380490        4697Q
USC00380506        4717S
USC00380559        4784R
USC00380613        4910Q
USC00380736        4442R
USC00380764        4450R
USC00380972        4371R
USC00381093        5418S
USC00381241        4971R
USC00381256        7003R
USC00381277        4444R
USC00381310        4382R
USC00381462        4389S
USC00381479        4547R
USC00381530        4490S
USC00381588        4573S
USC00381625        4980R
USC00381633        4575S
USC00381645        4697Q
USC00381726        4505R
USC00381770        5023S
USC00381804        5594S
USC00381944        4630S
USC00381997        5207R
USC00382260        4616R
USC00382386        4533R
USC00382712        4467S
USC00382730        4543R
USC00382735        4989Q
USC00382757        4617S
USC00383111        4651R
USC00383216        4560S
USC00383356        4731S
USC00383433        4671S
USC00383468        5624R
USC00383470        5243Q
USC00383525        4943R
USC00383700        4108S
USC00383754        4460R
USC00383906        4729R
USC00383990        4657R
USC00384111        4986Q
USC00384169        5031R
USC00384581        8096R
USC00384607        4691R
USC00384690        4703R
USC00384753        4850R
USC00384886        4611R
USC00385017        4555S
USC00385200        4590S
USC00385232        4350S
USC00385278        6205Q
USC00385306        5123R
USC00385493        5107R
USC00385509        4917R
USC00385628        5304R
USC00385633        3909R
USC00385658        4617Q
USC00385946        5091R
USC00386114        4852Q
USC00386153        5137Q
USC00386209        4797R
USC00386293        4601R
USC00386527        4697S
USC00386616        4627S
USC00386688        4392R
USC00386775        5030S
USC00386831        5344S
USC00386893        4960R
USC00387281        4937R
USC00387288        4962Q
USC00387589        6376R
USC00387631        4684S
USC00387666        4487S
USC00387683        4645Q
